商品名,ブランド名,大カテゴリ,中カテゴリ,小カテゴリ,価格,アクセス数,お気に入り登録数,お問い合わせ数,注文情報,成約日,出品日,買付地,発送地,商品ページURL
★英国発*JADED LONDON*新作*Driftクロススタッズフレアデニム★,JADED LONDON,メンズ,パンツ・ボトムス,デニム・ジーパン,"¥23,281",314,35,3,1個,2025/11/03,2025/09/05,ロンドン,愛知県,https://www.buyma.com/item/121987303/
★ドイツ発*BERSHKA*新作*フレイドエッジデニムセットアップ★,Bershka,メンズ,セットアップ,,"¥21,341",146,11,1,1個,2025/11/02,2025/08/17,ドイツ,愛知県,https://www.buyma.com/item/121413719/
★ドイツ発*ZARA*新作*ストレートフィットデニム/GREY★,ZARA,メンズ,パンツ・ボトムス,デニム・ジーパン,"¥9,701",99,6,1,1個,2025/11/02,2025/08/28,ドイツ,愛知県,https://www.buyma.com/item/121700399/
★ドイツ発*THE NORTH FACE*新作*Italy フーディ/WHITE DUNE★,THE NORTH FACE,メンズ,トップス,パーカー・フーディ,"¥21,341","4,245",262,16,1個,2025/11/02,2025/08/24,ドイツ,愛知県,https://www.buyma.com/item/121586849/
★英国発*boohoo*新作*フラワーZIPフーディセットアップ/上下★,boohoo,メンズ,セットアップ,,"¥11,641","1,984",117,5,1個,2025/11/02,2025/10/03,イギリス,愛知県,https://www.buyma.com/item/123307960/
★ドイツ発*BERSHKA*新作*フレイドトリムデニムジャケット/GR★,Bershka,メンズ,アウター・ジャケット,デニムジャケット,"¥11,641",54,4,1,1個,2025/11/02,2025/08/17,ドイツ,愛知県,https://www.buyma.com/item/121413611/
★ドイツ発*THE NORTH FACE*新作*Italy フーディ/WHITE DUNE★,THE NORTH FACE,メンズ,トップス,パーカー・フーディ,"¥21,341","4,245",262,16,1個,2025/11/02,2025/08/24,ドイツ,愛知県,https://www.buyma.com/item/121586849/
★ドイツ発*CHAMPION X ZARA* STRIPED ニット★,ZARA,メンズ,トップス,ニット・セーター,"¥12,611",249,14,2,1個,2025/11/01,2025/09/30,ドイツ,愛知県,https://www.buyma.com/item/123166123/
★ドイツ発*ZARA*新作*WASHED フレアフィットデニム/LB★,ZARA,メンズ,パンツ・ボトムス,デニム・ジーパン,"¥11,980",881,60,2,1個,2025/11/01,2025/04/11,ドイツ,愛知県,https://www.buyma.com/item/117528159/
★ドイツ発*ZARA*新作*ブーツカットストレートデニム/DB★,ZARA,メンズ,パンツ・ボトムス,デニム・ジーパン,"¥9,701",27,2,0,1個,2025/11/01,2025/10/04,ドイツ,愛知県,https://www.buyma.com/item/123319017/
★英国発*boohoo*新作*M STAR フーディセットアップ/上下/BL★,boohoo,メンズ,セットアップ,,"¥11,641","6,331",494,11,1個,2025/11/01,2025/08/20,イギリス,愛知県,https://www.buyma.com/item/121473911/
★ドイツ発*BERSHKA*新作*フーデッドフェイクファージャケット★,Bershka,メンズ,アウター・ジャケット,ジャケットその他,"¥20,980",51,5,1,1個,2025/11/01,2025/10/11,ドイツ,愛知県,https://www.buyma.com/item/123565601/
